順位,キャラ名,総得票数,ツイート得票,DM得票,お題小説得票,推し台詞得票,開票イラスト得票,取得漏れ得票,登場作品名
1,ルック,543,467,68,2,1,2,3,"I,II,III"
2,テッド,466,412,49,2,1,2,,"I,IV,外2"
3,フリック,328,290,33,2,1,2,,"I,II,外1"
4,幻水4主人公（4様）,308,274,27,2,1,2,2,"IV,R"
5,幻水2主人公（2主）,275,238,27,2,1,2,5,"II,外1,外2"
6,グレミオ,189,167,14,2,1,2,3,"I,II,外2"
6,ビクトール,189,169,15,2,1,2,,"I,II,外1"
7,ジョウイ・アトレイド（ブライト）,185,169,11,2,1,2,,"II,外1,外2"
8,ナナミ,155,137,12,2,1,2,1,"II,外1,外2"
9,マイクロトフ,137,122,7,2,1,2,3,"II,外2"
10,ルカ・ブライト,132,115,12,2,1,2,,"II,外1"
11,カミュー,130,109,16,2,1,2,,"II,外2"
,幻水1主人公（坊ちゃん）,127,105,17,2,1,2,,"I,II,外2"
12,ササライ,111,95,13,,1,2,,"III,外2"
13,シーナ,105,88,9,2,1,2,3,"I,II,外2"
14,フッチ,102,93,6,,1,2,,"I,II,III,外2"
15,ナッシュ・ラトキエ（クロービス）,99,92,4,,1,2,,"III,外1,外2"
16,クライブ,97,77,15,2,1,2,,"I,II,外1"
17,シード,89,83,1,2,1,2,,"II,外1"
18,シュウ,83,61,19,,1,2,,II
19,スタリオン,82,76,3,,1,2,,"I,II,外1"
19,ゲオルグ・プライム,82,71,6,2,1,2,,"II,V,外1"
20,シエラ・ミケーネ,67,63,,2,,2,,"II,外1"
21,幻水5主人公（王子）,62,53,3,2,1,2,1,V
22,トーマス,56,43,8,2,1,2,,III
23,ゲド,55,39,11,2,1,2,,III
24,キニスン,51,45,1,2,1,2,,"II,外1"
25,カイル,50,43,2,2,1,2,,V
26,ビッキー,49,40,4,2,1,2,,"I,II,III,IV,V,外2"
27,ヒューゴ,47,41,3,,1,2,,III
28,シーザー・シルバーバーグ,44,41,,,1,2,,III
29,クリン,42,36,6,,,,,I
29,マッシュ・シルバーバーグ,42,28,11,,1,2,,I
30,ヤム・クー,38,34,2,,,2,,"I,II"
30,セラ,38,26,7,2,1,2,,III
31,アルベルト・シルバーバーグ,36,31,,2,1,2,,III
31,オデッサ・シルバーバーグ,36,30,1,2,1,2,,I
32,ネクロード,35,33,,,,2,,"I,II"
33,クラウス・ウィンダミア,34,28,1,2,1,2,,II
33,スノウ・フィンガーフート,34,22,7,2,1,2,,"IV,R"
34,クルガン,33,28,,2,1,2,,"II,外1"
35,クリス・ライトフェロー,32,29,,,1,2,,III
35,ユーバー,32,27,,2,1,2,,"I,II,III"
36,ティアクライス主人公（団長）,30,26,1,,1,2,,TK
36,クレオ,30,24,3,,1,2,,"I,II"
37,ロイ,29,18,3,2,1,2,3,V
38,カスミ,27,22,3,,,2,,"I,II,外2"
38,リヒャルト,27,16,8,,1,2,,V
39,ジャック,26,20,1,2,1,2,,III
39,アルド,26,18,3,2,1,2,,IV
39,ザムザ,26,16,7,,1,2,,II
40,テンプルトン,25,17,3,2,1,2,,"I,II,外1"
41,バレリア,24,18,1,2,1,2,,"I,II,外1"
42,ペシュメルガ,23,17,4,,,2,,"I,II"
43,炎の英雄,21,18,1,,,2,,III
43,オウラン,21,17,1,,1,2,,"II,外2"
44,パーシヴァル・フロイライン,20,15,,2,1,2,,III
